"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2024","26,673.5","26,694.0","26,755.7","26,649.8","","-0.02%"
"12/16/2024","26,679.6","26,667.6","26,735.0","26,597.5","","0.02%"
"12/13/2024","26,675.1","26,584.5","26,738.8","26,554.0","","0.36%"
"12/12/2024","26,579.9","26,648.1","26,744.5","26,573.1","","-0.19%"
"12/11/2024","26,631.2","26,703.0","26,757.3","26,607.1","","-0.23%"
"12/10/2024","26,693.9","26,787.3","26,810.7","26,629.4","","-0.29%"
"12/09/2024","26,770.4","26,818.1","26,888.8","26,726.0","","-0.17%"
"12/06/2024","26,816.3","26,879.1","26,988.2","26,764.8","","-0.19%"
"12/05/2024","26,867.3","26,708.4","26,888.0","26,654.4","","0.64%"
"12/04/2024","26,695.4","26,700.7","26,796.1","26,609.4","","0.03%"
"12/03/2024","26,687.6","26,640.8","26,765.4","26,593.6","","0.20%"
"12/02/2024","26,635.1","26,809.0","26,839.4","26,544.3","","-0.62%"
"11/29/2024","26,801.3","26,781.2","26,862.2","26,717.8","","0.15%"
"11/28/2024","26,760.3","26,823.1","26,833.2","26,693.4","","-0.17%"
"11/27/2024","26,806.2","26,655.3","26,877.6","26,611.9","","0.62%"
"11/26/2024","26,642.2","26,675.8","26,800.1","26,500.3","","-0.09%"
"11/25/2024","26,665.3","26,613.7","26,768.5","26,555.8","","0.68%"
"11/22/2024","26,484.5","26,628.8","26,689.8","26,276.8","","-0.50%"
"11/21/2024","26,617.1","26,800.5","26,838.8","26,597.0","","-0.66%"
"11/20/2024","26,795.0","26,919.1","26,956.0","26,716.6","","-0.40%"
"11/19/2024","26,903.5","26,938.6","26,942.2","26,731.0","","-0.07%"
"11/18/2024","26,921.7","26,748.4","26,959.0","26,693.3","","0.63%"
"11/15/2024","26,753.1","26,751.3","26,895.6","26,701.4","","0.07%"
"11/14/2024","26,735.7","26,774.5","26,879.6","26,661.1","","-0.08%"
"11/13/2024","26,756.1","26,929.3","27,002.6","26,754.2","","-0.60%"
"11/12/2024","26,918.7","26,984.1","27,011.9","26,858.3","","-0.17%"
"11/11/2024","26,965.3","27,078.4","27,149.1","26,922.0","","-0.40%"
"11/08/2024","27,073.7","27,408.2","27,409.4","27,011.4","","-1.15%"
"11/07/2024","27,388.1","27,235.6","27,457.6","27,193.7","","0.63%"
"11/06/2024","27,216.9","27,704.6","27,721.1","27,116.3","","-1.69%"
"11/05/2024","27,685.7","27,550.7","27,718.6","27,506.7","","0.57%"
"11/04/2024","27,529.7","27,508.7","27,635.5","27,502.4","","0.53%"
"11/01/2024","27,385.8","27,512.2","27,590.9","27,405.0","","-0.42%"
"10/31/2024","27,501.3","27,459.0","27,524.9","27,414.5","","0.22%"
"10/30/2024","27,441.4","27,381.6","27,499.5","27,338.8","","0.28%"
"10/29/2024","27,364.1","27,415.1","27,434.1","27,256.3","","-0.14%"
"10/28/2024","27,403.0","27,392.0","27,455.9","27,364.2","","0.14%"
"10/25/2024","27,365.7","27,500.6","27,524.2","27,383.1","","-0.43%"
"10/24/2024","27,484.3","27,399.6","27,506.9","27,365.3","","0.37%"
"10/23/2024","27,383.7","27,434.9","27,457.1","27,343.7","","-0.11%"
"10/22/2024","27,413.6","27,368.6","27,512.3","27,363.6","","0.25%"
"10/21/2024","27,345.7","27,331.7","27,480.0","27,326.7","","0.06%"
"10/18/2024","27,328.0","27,290.0","27,395.6","27,272.3","","0.20%"
"10/17/2024","27,272.5","27,144.1","27,395.8","27,127.9","","0.56%"
"10/16/2024","27,119.9","27,162.2","27,246.5","27,111.8","","-0.09%"
"10/15/2024","27,143.3","27,108.9","27,229.7","27,073.9","","0.17%"
"10/14/2024","27,098.0","27,135.7","27,178.4","27,057.9","","-0.12%"
"10/11/2024","27,129.2","27,163.0","27,193.1","27,118.3","","-0.08%"
"10/10/2024","27,151.6","27,167.0","27,222.7","27,079.8","","-0.04%"
"10/09/2024","27,161.5","27,281.1","27,284.8","27,160.8","","-0.39%"
"10/08/2024","27,268.8","27,280.8","27,318.3","27,232.6","","0.03%"
"10/07/2024","27,259.4","27,187.6","27,306.9","27,156.6","","0.33%"
"10/04/2024","27,171.1","27,309.7","27,338.7","27,125.6","","-0.45%"
"10/03/2024","27,293.7","27,242.5","27,352.4","27,190.2","","0.24%"
"10/02/2024","27,228.1","27,237.1","27,329.8","27,211.5","","0.02%"
"10/01/2024","27,221.8","27,353.1","27,396.4","27,181.8","","-0.43%"
